,sample,herv_or_clade,cpm1,cpm2,color_column
416,AMS2,Clade_185,5.912586716408698,5.05164603222981,AMS2
417,AMS2,Clade_2747,-3.631794366997284,-inf,AMS2
418,AMS2,Clade_2923,-3.631794366997284,-inf,AMS2
419,AMS2,Clade_2902,1.7153131637201862,-0.4511416203668157,AMS2
420,AMS2,Clade_1180,-inf,-inf,AMS2
421,AMS2,ERV_3281961,-inf,-inf,AMS2
422,AMS2,Clade_2086,-inf,-inf,AMS2
423,AMS2,Clade_444,-inf,-inf,AMS2
424,AMS2,Clade_219,5.9014986915126,5.049606255897889,AMS2
425,AMS2,Clade_2181,-0.3736978289758005,-2.5305831620466526,AMS2
426,AMS2,ERV_4371816,-inf,-inf,AMS2
427,AMS2,ERV_4443842,-inf,-inf,AMS2
428,AMS2,ERV_3665586,-inf,-inf,AMS2
429,AMS2,ERV_2049291,-inf,-inf,AMS2
430,AMS2,Clade_1200,2.7567670385483476,1.9002336367966621,AMS2
431,AMS2,Clade_1691,0.46255019522481833,-1.8374359814867067,AMS2
432,AMS2,Clade_28,-2.245500005877392,-2.5305831620466526,AMS2
433,AMS2,ERV_2035131,-inf,-inf,AMS2
434,AMS2,Clade_198,-inf,-inf,AMS2
435,AMS2,ERV_3269255,-inf,-inf,AMS2
436,AMS2,Clade_333,-0.992737037382024,-0.9211452496125512,AMS2
437,AMS2,Clade_2629,-inf,-inf,AMS2
438,AMS2,ERV_1128658,-inf,-inf,AMS2
439,AMS2,ERV_2981255,-inf,-inf,AMS2
440,AMS2,Clade_284,-2.245500005877392,-inf,AMS2
441,AMS2,Clade_2773,-inf,-inf,AMS2
442,AMS2,ERV_1281018,-inf,-inf,AMS2
443,AMS2,Clade_317,1.3310502632626247,1.82612566464294,AMS2
444,AMS2,Clade_1600,0.7749248802669705,-1.4319708733785421,AMS2
445,AMS2,ERV_3925942,-inf,-inf,AMS2
