,sample,herv_or_clade,cpm1,cpm2,color_column
18946,SMS2,ERV_1666926,0.3226741398787903,-inf,SMS2
18947,SMS2,ERV_3628902,-inf,-inf,SMS2
18948,SMS2,ERV_4390370,-inf,-inf,SMS2
18949,SMS2,ERV_2690286,-inf,-inf,SMS2
18950,SMS2,ERV_3221870,-0.2863899234706136,-2.0327812483493446,SMS2
18951,SMS2,ERV_4360216,-3.027229947395816,-inf,SMS2
18952,SMS2,ERV_3361163,-inf,-inf,SMS2
18953,SMS2,ERV_4431218,-inf,-inf,SMS2
18954,SMS2,ERV_2035571,-inf,-inf,SMS2
18955,SMS2,ERV_3005023,-inf,-inf,SMS2
18956,SMS2,ERV_3783523,-1.155427770494223,-inf,SMS2
18957,SMS2,ERV_1523783,-inf,-inf,SMS2
18958,SMS2,ERV_2973573,-inf,-inf,SMS2
18959,SMS2,ERV_3759990,-inf,-inf,SMS2
18960,SMS2,ERV_3264652,-inf,-inf,SMS2
18961,SMS2,ERV_1431906,-inf,-inf,SMS2
18962,SMS2,ERV_3668599,-1.4177920349617141,-inf,SMS2
18963,SMS2,ERV_3363891,-inf,-inf,SMS2
18964,SMS2,ERV_2757019,-inf,-inf,SMS2
18965,SMS2,ERV_1758435,-inf,-inf,SMS2
18966,SMS2,ERV_3765833,-2.33408276683587,-inf,SMS2
18967,SMS2,ERV_3921952,-inf,-inf,SMS2
18968,SMS2,ERV_3495100,-inf,-inf,SMS2
18969,SMS2,ERV_1763741,-inf,-inf,SMS2
18970,SMS2,ERV_1502495,1.9800664454349266,-0.9341689596812347,SMS2
18971,SMS2,ERV_1713979,-inf,-inf,SMS2
18972,SMS2,ERV_2211582,-3.027229947395816,-inf,SMS2
18973,SMS2,ERV_1757781,-inf,-inf,SMS2
18974,SMS2,ERV_2527073,-0.3881726177805559,-inf,SMS2
18975,SMS2,ERV_3226441,-inf,-inf,SMS2
18976,SMS2,ERV_2444330,-1.6409355862759238,-inf,SMS2
18977,SMS2,ERV_3353914,-inf,-inf,SMS2
18978,SMS2,ERV_3397548,-inf,-inf,SMS2
18979,SMS2,ERV_4427936,-inf,-inf,SMS2
18980,SMS2,ERV_3998345,-inf,-inf,SMS2
18981,SMS2,ERV_4375869,-3.7203771279557616,-inf,SMS2
18982,SMS2,ERV_3483720,-inf,-inf,SMS2
