,Method,FPR
746,TELEscope,1.5138980860224253e-05
747,TELEscope,1.459179676545465e-05
748,TELEscope,7.022355349055749e-06
749,TELEscope,9.758311254014132e-06
750,TELEscope,1.1035085552920714e-05
751,TELEscope,4.468782997174453e-06
752,TELEscope,8.207998712985802e-07
753,TELEscope,7.295951613248901e-06
754,TELEscope,0.0
755,TELEscope,0.0
756,TELEscope,1.4227007036258165e-05
757,TELEscope,9.11999773824056e-07
758,TELEscope,0.0
759,TELEscope,5.289575532539417e-06
760,TELEscope,0.0
761,TELEscope,3.6479891144004824e-06
762,TELEscope,0.00011435179810907356
763,TELEscope,0.0
764,TELEscope,0.00015164270170941357
765,TELEscope,0.00010286308640508377
766,TELEscope,9.120005223938992e-08
767,TELEscope,1.0670293228777835e-05
768,TELEscope,0.0
769,TELEscope,1.5138980860224253e-05
770,TELEscope,6.475162371536426e-06
771,TELEscope,0.0
772,TELEscope,2.006361076595114e-05
773,TELEscope,0.0
774,TELEscope,1.869566287980695e-05
775,TELEscope,3.921587225037455e-06
776,TELEscope,5.0978234938348255e-05
777,TELEscope,0.0
778,TELEscope,1.824000878438823e-07
779,TELEscope,2.462395571627804e-06
780,TELEscope,2.736001068134817e-07
781,TELEscope,3.6480010914819266e-07
782,TELEscope,1.367999036928678e-06
783,TELEscope,5.745570803307406e-06
784,TELEscope,1.0214302449325888e-05
785,TELEscope,0.0
786,TELEscope,0.0020002945330622464
787,TELEscope,1.367999036928678e-06
788,TELEscope,2.8635998970927985e-05
789,TELEscope,7.423133859257199e-05
790,TELEscope,1.824000878438823e-07
791,TELEscope,1.2038263071980514e-05
792,TELEscope,0.0
793,TELEscope,5.654371782423057e-06
794,TELEscope,2.371195951894271e-06
795,TELEscope,1.9151976037047583e-06
796,TELEscope,6.292764579286736e-06
797,TELEscope,0.0016642714899431713
798,TELEscope,3.374390854051029e-06
799,TELEscope,1.3862217040914608e-05
800,TELEscope,4.924779016501566e-06
801,TELEscope,2.736001068134817e-07
802,TELEscope,4.559982234309215e-06
803,TELEscope,1.714531741773645e-05
804,TELEscope,4.560000948480197e-07
805,TELEscope,1.5503986257266581e-06
806,TELEscope,1.1855993815913625e-06
807,TELEscope,9.120005223938992e-08
808,TELEscope,5.107177307789786e-06
809,TELEscope,0.00010286308640508377
